ID,Edad,Sexo,Estado_Civil,Numero_Hijos,Nivel_Educativo,Zona_Vivienda,Estrato,Sector,Tamaño_Empresa,Trabajo_Turnos,Tipo_Contrato,Horas_Semana,Ingreso,Tipo_Cargo,Personas_Cargo,Años_Experiencia,Antiguedad_Cargo,Modalidad,Horas_Traslado,Horas_Formacion,CT1,CT2,CT3,PT1,PT2,PT3,PT4,CL1,CL2,CL3,CL4,CL5,CL6,CL7,AC1,AC2,AC3,CR1,CR2,CR3,CR4,CoR1,CoR2,CoR3,GC1,GC2,GC3,GC4,SM1,SM2,SM3,SM4,SM5,SAT1,SAT2,SAT3,SAT4,SAT5,SAT6,SAT7,SAT8,SAT9,IR1,IR2,IR3,IR4,FT1,FT2,FT3,FT4,FT5,TF1,TF2,TF3,TF4,TF5,BU1,BU2,BU3,BU4,BU5,BU6,BU7,BU8,BU9,BU10,BU11,BU12,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BP8,BP9,BP10,SOM1,SOM2,SOM3,SOM4,SOM5,DL1,DL2,DL3,DL4,DL5,DL6,DL7,DL8,IR1_original,outlier_flag,CTRL,PRES,LIDER,COMP,ROL_C,ROL_CON,CAMBIO,SM_ORG,SAT,RETIRO,FAM_TRAB,TRAB_FAM,BURNOUT,BIENESTAR,SOMATIZ,DESGASTE
1,47,Mujer,Casado,Sin hijos,Profesional,Urbana,2.0,Mixto,Más de 500 empleados,No,Presentación de servicios,48,Entre 1 y 3 SMLV,Operativo,No,Entre 1 a 5,Entre 1 y 3 años,Presencial,Entre 2 y 3 horas,9.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,,,2.0,,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,7.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,3.0,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,0,2.333,3.0,2.5,4.0,4.75,2.0,2.25,2.4,5.778,2.333,1.2,1.6,2.0,5.2,2.0,2.0
2,43,Mujer,Separado,3,Profesional,Urbana,3.0,Público,Más de 500 empleados,Si,Provisionalidad,45,Entre 1 y 3 SMLV,Administrativo,No,Entre 20 a 25,Entre 1 y 3 años,Presencial,Menos de 1 hora,29.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,,4.0,4.0,2.0,,1.0,2.0,2.0,4.0,6.0,4.0,5.0,5.0,2.0,2.0,2.0,1.0,2.0,,2.0,4.0,1.0,2.0,1.0,2.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,0,4.0,2.5,2.857,4.333,4.5,2.0,1.75,2.6,5.0,4.0,1.75,4.8,1.909,5.2,2.25,1.125
3,54,Mujer,Soltero,2,Profesional,Urbana,4.0,Público,Entre 50 y 200 empleados,No,Carrera,43,Entre 1 y 3 SMLV,Directivo,No,Entre 5 a 10,Entre 3 y 7 años,Presencial,Menos de 1 hora,81.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,,3.0,2.0,2.0,4.0,,5.0,,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,5.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,5.0,6.0,6.0,,6.0,5.0,5.0,6.0,6.0,6.0,4.0,5.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,7.0,0,3.0,3.25,4.5,2.333,4.5,2.0,3.75,2.2,6.222,1.0,3.4,2.2,2.25,5.667,4.6,1.25
4,46,Mujer,Casado,2,Tecnológico,Urbana,4.0,Público,Entre 200 y 500 empleados,No,Provisionalidad,52,Entre 1 y 3 SMLV,Administrativo,Si,Entre 5 a 10,Entre 1 y 3 años,Presencial,Entre 1 y 2 horas,5.0,4.0,4.0,2.0,,1.0,2.0,2.0,,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,2.0,1.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,,1.0,2.0,,1.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,5.0,0,3.333,1.667,3.0,2.667,4.5,1.667,3.5,2.0,7.0,2.0,2.4,2.5,2.636,6.3,3.0,1.143
5,38,Mujer,Soltero,4,Tecnológico,Urbana,3.0,Público,Entre 200 y 500 empleados,No,Presentación de servicios,44,Entre 1 y 3 SMLV,Administrativo,Si,Entre 15 a 20,Más de 10 años,Presencial,Entre 1 y 2 horas,21.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,4.0,4.0,6.0,5.0,,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,7.0,5.0,4.0,5.0,7.0,5.0,5.0,7.0,7.0,,,5.0,,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,6.0,0,2.0,3.75,3.429,3.0,3.5,3.667,3.25,5.0,4.857,2.0,1.8,1.8,5.7,4.0,4.5,4.125
6,36,Mujer,Soltero,2,Profesional,Urbana,3.0,Público,Entre 200 y 500 empleados,No,Carrera,46,Entre 3 y 5 SMLV,Directivo,No,Entre 1 a 5,Entre 3 y 7 años,Presencial,Menos de 1 hora,26.0,,5.0,4.0,2.0,3.0,,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,6.0,6.0,6.0,7.0,,6.0,6.0,,6.0,2.0,1.0,2.0,,2.0,2.0,,1.0,1.0,,2.0,3.0,,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,6.0,5.0,6.0,5.0,6.0,7.0,6.0,7.0,6.0,,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,5.0,6.0,0,4.5,2.667,2.429,4.0,4.5,2.333,2.25,2.2,6.143,1.667,1.5,2.667,1.333,6.0,3.25,3.875
7,41,Hombre,Separado,Sin hijos,Posgrado,Rural,2.0,Público,Más de 500 empleados,No,Otro,49,Entre 1 y 3 SMLV,Directivo,Si,Más de 25,Entre 1 y 3 años,Presencial,Entre 2 y 3 horas,0.0,4.0,3.0,,2.0,3.0,,3.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,6.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,7.0,0,3.5,2.667,4.571,5.0,4.75,2.667,4.25,2.8,6.333,1.25,1.0,4.0,1.167,5.2,2.8,1.375
8,44,Hombre,Casado,3,Tecnológico,Urbana,5.0,Público,Más de 500 empleados,No,Carrera,46,Entre 1 y 3 SMLV,Operativo,No,Entre 10 a 15,Entre 1 y 3 años,Presencial,Menos de 1 hora,0.0,2.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,,3.0,,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,,4.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,,3.0,2.0,5.0,7.0,7.0,7.0,6.0,4.0,4.0,2.0,4.0,,4.0,4.0,4.0,2.0,4.0,2.0,2.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,4.0,3.0,4.0,3.0,6.0,5.0,6.0,4.0,6.0,,4.0,4.0,4.0,0,3.0,3.75,3.571,3.0,4.25,3.0,4.0,4.0,5.333,3.75,2.75,6.4,3.273,5.0,3.5,5.0
9,33,Mujer,Viudo,Sin hijos,Posgrado,Urbana,3.0,Público,Entre 200 y 500 empleados,Si,Libre nombramiento y remocion,40,Entre 1 y 3 SMLV,Administrativo,No,Entre 20 a 25,Entre 1 y 3 años,Presencial,Entre 1 y 2 horas,31.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,7.0,7.0,7.0,7.0,2.0,2.0,3.0,1.0,4.0,5.0,6.0,5.0,6.0,6.0,5.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,6.0,5.0,5.0,4.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,0,1.0,4.75,1.143,4.333,3.5,3.667,1.5,2.8,2.889,7.0,2.4,5.6,5.5,2.8,5.0,6.875
10,26,Hombre,Casado,2,Posgrado,Urbana,4.0,Mixto,Entre 10 y 50 empleados,No,Carrera,43,Entre 1 y 3 SMLV,Operativo,No,Entre 20 a 25,Menos de 1 año,Híbrido,Menos de 1 hora,7.0,5.0,5.0,4.0,1.0,2.0,2.0,1.0,3.0,4.0,,3.0,4.0,3.0,3.0,,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,,4.0,,5.0,6.0,4.0,5.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,5.0,6.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,,2.0,2.0,2.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,7.0,0,4.667,1.5,3.333,4.5,3.75,3.333,3.0,1.2,4.571,2.25,1.8,4.6,3.0,5.6,1.2,1.0
